subID,Antisaccade,StopSignal,Stroop,KeepTrack,LetterMem,SNback,NumberLetter,ColorShape,CategorySwitch
1553,54.62963333,-192.3333333,-199.4497781,62.5,77.273,79.5139,-175.6427987,-189.2516796,-132.6361111
1555,62.037,-223.3333333,-74.59469697,69.643,75.758,88.19445,-90.66558742,-133.9693423,-285.5194236
1556,55.55553333,NA,-133.2434018,78.571,78.03,76.3889,-241.2,-194.5869565,-104.6417379
1557,53.70373333,-290.6666667,-288.2478632,76.786,73.485,84.02775,-508.5653595,-303.3213886,-197.4134412
1558,80.55556667,-212.3333333,-116.6447368,73.214,96.97,76.7361,-313.7003788,-348.4480382,-268.4092764
1559,68.51853333,NA,-177.7519148,80.357,85.606,81.5972,-273.6785714,-183.7608696,-36.40973631
1561,61.1111,-279.6666667,-145.628692,67.857,65.909,79.5139,-358.6853448,-145.052673,-1.786972416
1565,73.14816667,-241.8333333,-185.3207681,69.643,75.758,81.9444,-201.2357398,-366.0073684,-157.821821
1566,77.7778,-240.3333333,-144.7105263,80.357,72.727,75.6944,-443.5061224,-302.1212121,-104.4470588
1568,62.03703333,-231,-127.7094595,76.786,65.152,84.72225,-17.81297584,-50.23833333,-172.1190476
1570,86.1111,-221.3333333,-147.840293,91.071,94.697,95.1389,-204.3805855,-65.5,-32.74276094
1571,71.29626667,-222,-17.06015038,85.714,93.939,88.5417,-115.0480769,-70.43391304,-146.5775325
1572,46.2963,-180.8333333,-153.5695696,73.214,91.667,66.31945,-724.8508549,-343.6386841,-205.0925926
1575,63.8889,-230.6666667,-126.3635772,58.929,62.121,84.02775,-265.3602941,-204.8587127,-222.1081481
1576,74.07406667,-237,-171.372043,80.357,78.788,83.3333,-340.6603774,-120.1112235,-210.8144673
1578,53.7037,-245.3333333,-69.65714286,67.857,77.273,67.0139,-128.8186908,-302.8060928,-92.5
2001,45.37036667,-285.3333333,-279.5857143,76.786,55.303,76.38885,-566.261678,-165.8409091,-472.4261705
2003,40.74073333,-255.6666667,-108.7534754,73.214,95.455,78.81945,-724.8508549,-300.9555556,-126.5771239
2004,84.25926667,-211.3333333,-104.3589945,73.214,86.364,86.1111,-338.4666344,-46.89640592,-34.46698113
2006,47.22223333,-280,-34.93843137,69.643,55.303,81.25,-301.9261538,-289.1454545,-258.5778656
2007,75,-236.8333333,-72.36346154,87.5,94.697,81.25,-240.7062325,13.01448171,-11.21384206
2008,55.55556667,-272.3333333,-101.0023166,85.714,91.667,87.5,-159.4032145,-567.1333333,-108.2519217
2013,63.8889,-256,-187.1409266,71.429,58.333,82.29165,-53.61829176,-280.225,-147.8657407
2016,75.9259,-235.1666667,-352.7177495,66.071,54.545,88.54165,-288.4387464,-109.0039705,-184.3213773
2020,68.51853333,-210,-208.3543544,75,86.364,78.47225,-203.675,-107.1282051,-123.7216327
2021,65.74073333,-288.5,-129.3413078,73.214,83.333,70.83335,-146.569378,-159.0051348,-77.66144019
2023,80.55553333,-215.6666667,-78.44987469,75,75.758,76.7361,-175.9827586,-325.1968085,-29.11666667
2024,50,-280,-305.3977778,80.357,47.727,79.8611,-333.6138889,28.03793691,10.5857236
2026,74.07406667,-236.3333333,-100.8280591,67.857,79.545,75,-252.3641457,-184.3013889,-163.1582003
2028,87.96296667,-269.3333333,-150.11107,85.714,94.697,89.23615,-203.6363636,-296.11,-84.88392857
2030,60.1852,NA,-19.73684211,83.929,89.394,75.69445,-74.94037736,-140.5837684,-82.47465887
2031,73.14813333,-211.8333333,-55.41138211,75,84.091,NA,-36.91666667,-40.26341463,24.81657609
2034,59.25926667,-297.8333333,-135.613806,78.571,95.455,78.81945,-190.5507175,-223.9607046,-115.9322344
